<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
Аэрофлот;W;05/01/15;000000;34;9413500
Аэрофлот;W;12/01/15;000000;36,05;17974800
Аэрофлот;W;19/01/15;000000;40,15;25357100
Аэрофлот;W;26/01/15;000000;38,25;19960200
Аэрофлот;W;02/02/15;000000;38;17545200
Аэрофлот;W;09/02/15;000000;40,4;31462600
Аэрофлот;W;16/02/15;000000;40;22994100
Аэрофлот;W;23/02/15;000000;39,19;13973100
Аэрофлот;W;02/03/15;000000;38,96;15575200
Аэрофлот;W;09/03/15;000000;37,18;15149600
Аэрофлот;W;16/03/15;000000;33,5;20552200
Аэрофлот;W;23/03/15;000000;32,7;21665500
Аэрофлот;W;30/03/15;000000;35,76;27471600
Аэрофлот;W;06/04/15;000000;38;35290800
Аэрофлот;W;13/04/15;000000;38,28;40086300
Аэрофлот;W;20/04/15;000000;39,2;26206300
Аэрофлот;W;27/04/15;000000;38,15;14561600
Аэрофлот;W;04/05/15;000000;40,7;23714600
Аэрофлот;W;11/05/15;000000;40,61;24593300
Аэрофлот;W;18/05/15;000000;41,2;15652100
Аэрофлот;W;25/05/15;000000;41,1;11614500
Аэрофлот;W;01/06/15;000000;39,8;10562000
Аэрофлот;W;08/06/15;000000;39,78;9680900
Аэрофлот;W;15/06/15;000000;37,9;10641000
Аэрофлот;W;22/06/15;000000;39,16;6835400
Аэрофлот;W;29/06/15;000000;37,05;8450600
Аэрофлот;W;06/07/15;000000;38,07;11526900
Аэрофлот;W;13/07/15;000000;39,55;8621700
Аэрофлот;W;20/07/15;000000;39,13;8097600
Аэрофлот;W;27/07/15;000000;39,35;10939500
Аэрофлот;W;03/08/15;000000;40,52;12624700
Аэрофлот;W;10/08/15;000000;39,87;4693100
Аэрофлот;W;17/08/15;000000;39;4649700
Аэрофлот;W;24/08/15;000000;39,04;8380700
Аэрофлот;W;31/08/15;000000;34,85;67858300
Аэрофлот;W;07/09/15;000000;35,55;62781100
Аэрофлот;W;14/09/15;000000;36,53;24451400
Аэрофлот;W;21/09/15;000000;35,33;11203800
Аэрофлот;W;28/09/15;000000;38,8;61934500
Аэрофлот;W;05/10/15;000000;43,31;47201800
Аэрофлот;W;12/10/15;000000;48,9;79813800
Аэрофлот;W;19/10/15;000000;48,26;52600800
Аэрофлот;W;26/10/15;000000;49;23322600
Аэрофлот;W;02/11/15;000000;51,94;33563100
Аэрофлот;W;09/11/15;000000;53,39;23678500
Аэрофлот;W;16/11/15;000000;57,86;34836600
Аэрофлот;W;23/11/15;000000;55,42;23404600
Аэрофлот;W;30/11/15;000000;57,33;51622300
Аэрофлот;W;07/12/15;000000;58,5;27279100
Аэрофлот;W;14/12/15;000000;56,51;18424300
Аэрофлот;W;21/12/15;000000;56,74;7755500
Аэрофлот;W;28/12/15;000000;56,1;3306600
Аэрофлот;W;04/01/16;000000;54,05;7096100
Аэрофлот;W;11/01/16;000000;51,98;17126400
Аэрофлот;W;18/01/16;000000;52,03;18614600
Аэрофлот;W;25/01/16;000000;50,5;19104800
Аэрофлот;W;01/02/16;000000;57,3;42650600
Аэрофлот;W;08/02/16;000000;54,41;24731100
Аэрофлот;W;15/02/16;000000;53,4;13082100
Аэрофлот;W;22/02/16;000000;55,35;11890700
Аэрофлот;W;29/02/16;000000;65,49;53037100
Аэрофлот;W;07/03/16;000000;64,77;43424000
