<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ГАЗПРОМ ао;1;01.09.2021;09:59:00;306,6;306,6;306,6;306,6;11330;0
ГАЗПРОМ ао;1;01.09.2021;10:00:00;306,6;307,23;306,52;306,85;79199;0
ГАЗПРОМ ао;1;01.09.2021;10:01:00;306,67;307;306,19;306,3;26944;0
ГАЗПРОМ ао;1;01.09.2021;10:02:00;306,25;306,5;306,21;306,46;33379;0
ГАЗПРОМ ао;1;01.09.2021;10:03:00;306,46;306,7;306,3;306,49;18423;0
ГАЗПРОМ ао;1;01.09.2021;10:04:00;306,49;306,6;306,4;306,57;6862;0
ГАЗПРОМ ао;1;01.09.2021;10:05:00;306,56;306,78;306,51;306,78;8387;0
ГАЗПРОМ ао;1;01.09.2021;10:06:00;306,77;306,87;306,32;306,54;17470;0
ГАЗПРОМ ао;1;01.09.2021;10:07:00;306,54;306,66;306,33;306,54;8618;0
ГАЗПРОМ ао;1;01.09.2021;10:08:00;306,54;306,63;306,5;306,63;6189;0
ГАЗПРОМ ао;1;01.09.2021;10:09:00;306,63;307;306,6;307;42269;0
ГАЗПРОМ ао;1;01.09.2021;10:10:00;307;307,23;306,93;307,08;26378;0
ГАЗПРОМ ао;1;01.09.2021;10:11:00;307,09;307,1;307,05;307,05;29820;0
ГАЗПРОМ ао;1;01.09.2021;10:12:00;307,05;307,1;306,92;306,93;12648;0
ГАЗПРОМ ао;1;01.09.2021;10:13:00;306,93;307,1;306,93;307,03;12790;0
ГАЗПРОМ ао;1;01.09.2021;10:14:00;307,01;307,3;306,91;307,3;37622;0
ГАЗПРОМ ао;1;01.09.2021;10:15:00;307,3;307,61;307,2;307,6;29720;0
ГАЗПРОМ ао;1;01.09.2021;10:16:00;307,59;307,99;307,57;307,65;26770;0
ГАЗПРОМ ао;1;01.09.2021;10:17:00;307,62;307,75;307,5;307,72;14525;0
ГАЗПРОМ ао;1;01.09.2021;10:18:00;307,73;307,8;307,6;307,79;18759;0
ГАЗПРОМ ао;1;01.09.2021;10:19:00;307,79;308,3;307,79;308,22;35908;0
ГАЗПРОМ ао;1;01.09.2021;10:20:00;308,25;308,46;308,21;308,34;31911;0
ГАЗПРОМ ао;1;01.09.2021;10:21:00;308,33;308,47;308,23;308,34;21358;0
ГАЗПРОМ ао;1;01.09.2021;10:22:00;308,34;308,58;308,23;308,51;42525;0
ГАЗПРОМ ао;1;01.09.2021;10:23:00;308,54;308,57;308,06;308,28;114226;0
ГАЗПРОМ ао;1;01.09.2021;10:24:00;308,26;308,44;308,17;308,3;18531;0
ГАЗПРОМ ао;1;01.09.2021;10:25:00;308,34;308,44;308,27;308,44;8006;0
ГАЗПРОМ ао;1;01.09.2021;10:26:00;308,41;308,45;307,86;308,3;249306;0
ГАЗПРОМ ао;1;01.09.2021;10:27:00;308,28;308,43;308,18;308,2;13874;0
ГАЗПРОМ ао;1;01.09.2021;10:28:00;308,25;308,41;308,19;308,27;11869;0
ГАЗПРОМ ао;1;01.09.2021;10:29:00;308,27;308,3;307,93;308,14;13106;0
