<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
Аэрофлот;D;30/06/20;000000;82.34;23644570
Аэрофлот;D;02/07/20;000000;81.62;18886540
Аэрофлот;D;03/07/20;000000;80.98;19891100
Аэрофлот;D;06/07/20;000000;81.24;18364020
Аэрофлот;D;07/07/20;000000;80.28;9040480
Аэрофлот;D;08/07/20;000000;80.9;7488770
Аэрофлот;D;09/07/20;000000;80.88;12812560
Аэрофлот;D;10/07/20;000000;81.56;8775490
Аэрофлот;D;13/07/20;000000;80.84;9541400
Аэрофлот;D;14/07/20;000000;81.66;13644770
Аэрофлот;D;15/07/20;000000;83.3;15488180
Аэрофлот;D;16/07/20;000000;82.3;7861100
Аэрофлот;D;17/07/20;000000;83.2;7654660
Аэрофлот;D;20/07/20;000000;84.44;13001500
Аэрофлот;D;21/07/20;000000;87.56;26373090
Аэрофлот;D;22/07/20;000000;86.08;19342010
Аэрофлот;D;23/07/20;000000;85.14;9780430
Аэрофлот;D;24/07/20;000000;88.36;32634200
Аэрофлот;D;27/07/20;000000;87.64;15966860
Аэрофлот;D;28/07/20;000000;83.74;45788720
Аэрофлот;D;29/07/20;000000;83.5;16425960
Аэрофлот;D;30/07/20;000000;82.54;17010730
Аэрофлот;D;31/07/20;000000;83.2;11813360
Аэрофлот;D;03/08/20;000000;83.86;11802430
Аэрофлот;D;04/08/20;000000;82.08;20185530
Аэрофлот;D;05/08/20;000000;81.96;21515500
Аэрофлот;D;06/08/20;000000;82.06;34549820
Аэрофлот;D;07/08/20;000000;81.48;13322540
Аэрофлот;D;10/08/20;000000;83;16506520
Аэрофлот;D;11/08/20;000000;83.22;13546560
Аэрофлот;D;12/08/20;000000;85.82;68586070
Аэрофлот;D;13/08/20;000000;86.26;20758990
Аэрофлот;D;14/08/20;000000;86.1;8173950
Аэрофлот;D;17/08/20;000000;84.96;5773050
Аэрофлот;D;18/08/20;000000;83.44;9721850
Аэрофлот;D;19/08/20;000000;83.5;6179910
Аэрофлот;D;20/08/20;000000;83.26;4888610
Аэрофлот;D;21/08/20;000000;83.12;4429020
Аэрофлот;D;24/08/20;000000;84.12;4703810
Аэрофлот;D;25/08/20;000000;83;6381500
Аэрофлот;D;26/08/20;000000;83.38;5850490
Аэрофлот;D;27/08/20;000000;82.86;4215460
Аэрофлот;D;28/08/20;000000;82.24;4433850
Аэрофлот;D;31/08/20;000000;81.02;10981170
Аэрофлот;D;01/09/20;000000;82.14;7722520
Аэрофлот;D;02/09/20;000000;81.4;5070520
Аэрофлот;D;03/09/20;000000;80.86;7595140
Аэрофлот;D;04/09/20;000000;81.8;4100330
Аэрофлот;D;07/09/20;000000;81.96;1877530
Аэрофлот;D;08/09/20;000000;81.26;5291780
Аэрофлот;D;09/09/20;000000;81.98;4074520
Аэрофлот;D;10/09/20;000000;81.66;3610250
Аэрофлот;D;11/09/20;000000;81.72;4502250
Аэрофлот;D;14/09/20;000000;82.04;9390560
Аэрофлот;D;15/09/20;000000;82.38;4398780
Аэрофлот;D;16/09/20;000000;82.66;6288190
Аэрофлот;D;17/09/20;000000;82.2;5201490
Аэрофлот;D;18/09/20;000000;81.78;6229840
Аэрофлот;D;21/09/20;000000;79.3;12191710
Аэрофлот;D;22/09/20;000000;77.8;8685540
Аэрофлот;D;23/09/20;000000;77.12;6990570
Аэрофлот;D;24/09/20;000000;75.7;8808390
Аэрофлот;D;25/09/20;000000;74.18;12531080
Аэрофлот;D;28/09/20;000000;75.78;9023570
Аэрофлот;D;29/09/20;000000;74.42;9714570
Аэрофлот;D;30/09/20;000000;74.12;5019530
Аэрофлот;D;01/10/20;000000;71.16;13251380
Аэрофлот;D;02/10/20;000000;69;23375230
Аэрофлот;D;05/10/20;000000;65.74;36467180
