Tiker,open,high,low,closing
A,31.47314465408805,31.820903773584902,31.05606163522013,31.460031446540885
AA,12.787075471698113,12.963261006289308,12.546302515723271,12.739996855345911
AAPL,237.96964743589743,240.40319551282053,234.47456602564102,237.67840641025643
ABC,29.627798742138364,29.901896226415094,29.265979874213834,29.618427672955974
ABT,51.1485534591195,51.488866037735846,50.677244025157236,51.11798742138365
ACE,52.50631578947369,53.02142982456141,52.031580701754386,52.567894736842106
ACS,61.76958333333334,62.344545833333335,61.32245833333334,61.78583333333333
ADBE,32.6607911392405,33.01496835443038,32.20696329113924,32.604303797468354
ADI,29.346446540880503,29.679921383647798,28.879157232704404,29.31125786163522
ADM,28.330503144654088,28.600694339622642,28.01803144654088,28.311666666666667
ADP,42.11668789808917,42.45085605095541,41.668059872611465,42.125700636942675
ADSK,28.22108280254777,28.630082165605092,27.801816560509554,28.229633757961782
AEE,25.595345911949686,25.808236477987425,25.34488993710692,25.60440251572327
AEP,34.079874213836476,34.342244025157235,33.75772641509434,34.0951572327044
AES,11.216729559748428,11.389530817610064,11.019792452830188,11.201383647798743
AET,30.155183018867927,30.595845911949684,29.689987421383645,30.142264150943397
AFL,49.02760943396226,49.6548358490566,48.22086540880503,48.998364779874215
AGN,61.42698113207547,62.02142075471698,60.753915723270445,61.41477987421384
AIG,34.25135220125786,35.165701257861635,33.39560440251572,34.18232704402516
AIV,19.302955974842767,19.670183647798744,18.95448238993711,19.340314465408806
AIZ,34.21147798742138,34.62090880503145,33.815661635220124,34.26044025157233
AKAM,35.176962025316456,35.847800632911394,34.64150189873418,35.32091772151899
AKS,18.352853459119498,18.740183018867924,17.85784465408805,18.28058176100629
ALL,30.702138364779877,31.008930188679244,30.3240106918239,30.68962264150943
ALTR,24.739683544303798,25.094635443037976,24.365048734177215,24.781756329113925
AMAT,12.864367088607594,13.03122341772152,12.646359493670886,12.838177215189873
AMD,8.406540880503146,8.566374842767296,8.203976729559749,8.387389937106919
AMGN,56.15025316455696,56.7119417721519,55.57927025316456,56.18727721518987
AMP,41.71415094339623,42.26729119496856,41.1146106918239,41.74522012578616
AMT,43.345786163522014,43.81219182389937,42.83805408805031,43.35836477987421
AMZN,126.3784076433121,128.33462420382165,124.32801974522293,126.47619745222929
AN,19.91440251572327,20.229111949685535,19.607240251572325,19.932264150943396
ANF,38.16544025157233,38.79039182389937,37.44254716981132,38.152264150943395
AON,39.778301886792455,40.10322327044025,39.447974842767294,39.81553459119497
APA,98.29716918238994,99.46559119496855,96.84604779874213,98.2611320754717
APC,59.387674213836476,60.365259119496855,58.236012578616354,59.31723270440252
APD,73.08635220125785,73.84341132075471,72.32412327044025,73.12358490566038
APH,42.86386792452831,43.3327106918239,42.2779251572327,42.82974842767296
APOL,55.24198113207547,56.07150503144654,54.3900427672956,55.17590880503144
ARG,61.288490566037744,61.74701257861635,60.88415094339623,61.36383647798743
ATI,49.205345911949685,50.217426415094344,48.14107610062893,49.164276729559745
AVB,92.06006289308176,93.43849811320754,90.71752578616352,92.21971698113207
AVP,30.301446540880505,30.651194968553458,29.902075471698115,30.30836477987421
AVY,35.226037735849054,35.67253584905661,34.748746540880504,35.2225786163522
AXP,41.50641509433962,42.06716918238994,40.89831949685534,41.51748427672956
AYE,22.117672955974843,22.337240880503142,21.875087421383647,22.10767295597484
AZO,180.92654088050315,182.64228427672955,179.48630880503146,181.27962264150943
BA,66.17169811320754,66.97569937106918,65.27722767295597,66.1934748427673
BAC,15.987264150943396,16.202707547169812,15.717107547169812,15.947871069182389
BAX,50.66338050314465,51.09528867924528,50.17069245283019,50.63198113207547
BBBY,41.66977987421384,42.197026415094335,40.9995320754717,41.667893081761
BBT,29.2601572327044,29.687937735849054,28.83963773584906,29.279685534591195
BBY,39.02566037735849,39.50748490566038,38.48142201257862,38.99297169811321
BCR,81.8762710691824,82.45308176100629,81.16698742138364,81.83622641509433
BDK,70.336875,71.1269375,69.55236458333333,70.515
BDX,74.36415094339623,74.89085220125787,73.70596540880503,74.32446540880503
BEN,103.01597484276729,104.27015031446541,101.62142075471698,103.02471698113207
BF.B,57.2314465408805,57.74742830188679,56.6881679245283,57.29628930817611
BHI,45.908553459119496,46.695518238993714,45.074200000000005,45.90503144654088
BIG,34.153301886792455,34.57936289308176,33.68097044025157,34.17427672955975
BIIB,53.58601910828025,54.20446050955414,52.99050828025477,53.65765605095542
BJS,21.715125,22.0319375,21.43306125,21.759375
BK,28.33562893081761,28.652138364779873,27.97990566037736,28.32477987421384
BLL,53.35270440251572,53.84683836477988,52.87187358490566,53.38811320754718
BMC,37.630967741935486,38.050079999999994,37.20626516129032,37.64922580645161
BMS,29.12830188679245,29.41950062893082,28.79343522012579,29.13194968553459
BMY,25.06314465408805,25.282795597484277,24.803305660377358,25.06075471698113
BNI,99.32827586206896,99.46724137931035,99.24068620689654,99.39482758620689
BRCM,33.28591772151899,33.762743670886074,32.760798734177214,33.28471518987342
BRK.B,78.33842975206612,79.01024380165289,77.52465371900826,78.37
BSX,7.0,7.09888427672956,6.8805893081761,6.990503144654088
BTU,44.59657232704402,45.40687924528302,43.69355534591195,44.57048742138365
BXP,74.60688679245284,75.63048679245283,73.59249433962263,74.71025157232705
C,3.9102830188679247,3.966827672955975,3.8379427672955972,3.8971069182389937
CA,21.307044025157232,21.534864779874212,21.057224528301887,21.317940251572324
CAG,24.096635220125783,24.283577987421385,23.895708176100626,24.102830188679246
CAH,34.167232704402515,34.49191194968554,33.78647924528302,34.15437106918239
CAM,39.6262893081761,40.2932534591195,38.80085786163522,39.59886792452831
CAT,62.43374213836478,63.342079245283024,61.53200880503145,62.50767295597484
CB,51.22509433962264,51.632261635220125,50.76322704402516,51.24308176100629
CBG,14.91433962264151,15.205911320754717,14.615561635220125,14.91937106918239
CBS,14.3112893081761,14.568664779874213,14.042167924528304,14.317106918238995
CCE,25.70364779874214,25.975267924528303,25.464859119496857,25.735220125786164
CCL,35.6622641509434,36.072334591194966,35.160978616352196,35.634874213836476
CEG,34.51025157232704,34.91971509433962,34.070963522012576,34.48937106918239
CELG,57.366613924050625,58.02715696202532,56.529557594936705,57.33696202531645
CEPH,63.3126582278481,63.947808860759494,62.588587341772154,63.30898734177215
CERN,79.6443918918919,80.74290135135135,78.43248783783784,79.6193918918919
CF,84.61161886792453,86.05384150943395,82.99045597484277,84.45817610062893
CFN,25.035345911949683,25.34758427672956,24.686779874213837,25.040251572327044
CHK,23.988993710691823,24.310090566037736,23.55196603773585,23.929685534591197
CHRW,57.7538782051282,58.44921474358974,57.179774358974356,57.846006410256415
CI,33.94018867924528,34.45678050314466,33.417018867924526,33.9477358490566
CINF,27.535833333333333,27.763951282051284,27.289228205128204,27.54982371794872
CL,81.4837106918239,82.063406918239,80.86156540880503,81.55176100628931
CLF,56.514113207547176,57.82743396226415,55.03512452830189,56.449119496855346
CLX,63.17915094339623,63.54318805031447,62.73254402515723,63.1825786163522
CMA,37.65675408805031,38.220622012578616,37.054227044025154,37.67169811320755
CMCSA,17.740822784810128,17.985541772151898,17.509509493670887,17.758512658227847
CME,303.6471518987342,307.56247784810125,299.1243487341772,302.9082753164557
CMI,65.07389937106919,66.31474842767295,63.91788867924528,65.19100628930818
CMS,15.56694465408805,15.719086163522013,15.413162264150943,15.587547169811321
CNP,14.11198113207547,14.244122641509435,13.887854716981133,14.115157232704401
CNX,43.23710691823899,44.025613207547174,42.24799685534591,43.13132075471698
COF,40.95801886792453,41.64068616352201,40.24727547169811,40.96578616352202
COG,36.859245283018865,37.43672641509434,36.16358490566038,36.777735849056604
COH,38.50830188679245,39.04821572327044,37.95249056603774,38.5411320754717
COL,58.29943396226415,58.90698742138365,57.66794968553459,58.34949685534591
COP,52.81220125786163,53.37343522012579,52.18810880503144,52.843459119496856
COST,58.31044303797468,58.76347468354431,57.86397215189874,58.3281170886076
CPB,35.11018867924528,35.35660377358491,34.8642358490566,35.147421383647796
CPWR,8.071772151898733,8.179611392405063,7.945511392405063,8.074683544303797
CRM,82.29320754716981,83.609306918239,81.0271144654088,82.47125786163522
CSC,50.9014465408805,51.28817924528302,50.362696226415096,50.8325786163522
CSCO,24.356624203821653,24.6475923566879,24.08047770700637,24.37078025477707
CSX,50.9540251572327,51.62892012578616,50.203330817610066,50.947672955974845
CTAS,26.145377358490563,26.383987421383647,25.873732704402514,26.163899371069185
CTL,34.84635220125786,35.08996729559748,34.44694150943396,34.84062893081761
CTSH,51.06803797468354,51.7265917721519,50.38367658227848,51.12428797468354
CTXS,46.24830128205128,46.93424935897436,45.724117948717954,46.40615064102564
CVH,22.262327044025156,22.576901886792456,21.884230188679243,22.22748427672956
CVS,33.34852201257861,33.70772578616352,32.982256603773585,33.35006289308176
CVX,75.37455974842767,75.98026603773586,74.63204402515724,75.38364779874213
D,40.28509433962264,40.63133270440252,39.955755974842766,40.350220125786166
DD,36.68827044025157,37.109825786163526,36.222438364779876,36.69358490566037
DE,58.84833270440251,59.685882389937106,57.94060125786163,58.85805031446541
DELL,14.123225806451613,14.33375935483871,13.917627096774194,14.123045161290323
DF,13.850314465408804,14.01989748427673,13.642263522012579,13.828805031446542
DFS,14.489622641509433,14.715340880503145,14.236965408805032,14.48182389937107
DGX,54.3201572327044,54.77249937106918,53.75162515723271,54.315283018867916
DHI,11.985408805031447,12.442206289308176,11.732196226415095,11.97062893081761
DHR,66.01440251572328,66.59871006289309,65.33724088050315,66.03666666666666
DIS,33.349716981132076,33.72053081761006,32.9879,33.393144654088054
DISCA,36.035833333333336,36.51927583333334,35.5803425,36.1134375
DNB,73.37691823899371,73.83825471698113,72.81139308176101,73.3222641509434
DNR,15.969150943396226,16.246556603773584,15.649434591194968,15.961446540880502
DO,78.49745283018868,79.57218616352202,77.06048176100629,78.27358490566037
DOV,46.041729559748426,46.57141509433963,45.466650943396225,46.05591194968554
DOW,27.92116855345912,28.380149056603774,27.44182201257862,27.931509433962262
DPS,34.412358490566035,34.797457861635216,34.02608616352201,34.43874213836478
DRI,41.58072327044025,42.076508805031445,41.11360188679245,41.61811320754717
DTE,45.54100628930818,45.93549685534591,45.12882641509434,45.594276729559745
DTV,35.30061290322581,35.75316064516129,34.873489032258064,35.33958064516129
DUK,16.57006289308176,16.682575471698115,16.43240566037736,16.566352201257864
DV,59.162798742138364,59.886365408805034,58.25457044025157,59.041761006289306
DVA,62.32514905660378,62.97954716981132,61.751511320754716,62.4137106918239
DVN,66.80849056603773,67.61020251572327,65.8228245283019,66.73295597484277
EBAY,23.137337662337664,23.456833766233768,22.813765584415584,23.14957142857143
ECL,45.798081761006294,46.211818238993715,45.42340880503145,45.8674213836478
ED,44.52518867924528,44.80929937106918,44.17581320754717,44.54339622641509
EFX,31.957798742138365,32.237494968553456,31.66229496855346,31.981069182389934
EIX,33.51207547169811,33.807142767295595,33.217354088050314,33.52805031446541
EK,5.499842767295598,5.644638993710692,5.335418238993711,5.485031446540881
EL,59.8903144654088,60.59903710691824,59.21406918238994,60.03566037735849
EMC,18.587987421383648,18.798855974842766,18.363295597484278,18.609544025157234
EMN,60.99905660377359,61.721338993710695,60.156625786163524,60.97691823899371
EMR,47.51880503144654,48.03809433962264,46.95500251572327,47.570628930817605
EOG,100.46754716981133,101.98931509433963,98.83439308176101,100.5211320754717
EP,11.390377358490566,11.565346540880503,11.204195597484278,11.395361635220125
EQR,40.75396226415094,41.39836163522013,40.16437232704402,40.83295597484276
EQT,41.322610062893084,41.76662012578616,40.752213836477985,41.27943396226415
ERTS,17.07581761006289,17.309638993710692,16.835601257861637,17.084119496855347
ESRX,81.07899350649352,82.03497272727273,79.9538512987013,81.10758116883116
ETFC,4.579628888888889,4.659860740740741,4.4921851851851855,4.578573333333333
ETFCD,13.75975,14.03425,13.408000000000001,13.646125000000001
ETN,71.67270440251572,72.53623459119497,70.70383459119498,71.68251572327044
ETR,78.10264150943397,78.75985849056603,77.29556666666667,78.1074213836478
EXC,43.010314465408804,43.32493144654088,42.50046666666667,42.941383647798745
EXPD,37.66136942675159,38.104942675159236,37.19372738853503,37.69786624203822
EXPE,22.454585987261147,22.84725095541401,22.07614076433121,22.47449044585987
F,12.101216981132076,12.285115094339623,11.861651572327045,12.079685534591196
FAST,48.771815286624204,49.42708152866242,48.094161146496816,48.825716560509555
FCX,73.61678113207547,74.74574968553459,72.14887798742139,73.42012578616352
FDO,36.86264150943396,37.27923710691824,36.51543459119497,36.95358490566038
FDX,83.71283018867925,84.70028742138365,82.52998490566037,83.67396226415094
FE,38.85622641509434,39.1489320754717,38.43374779874214,38.794968553459114
FHN,12.882201257861635,13.079693081761004,12.6739,12.87635220125786
FII,24.038490566037733,24.278069182389938,23.739567924528302,24.005849056603772
FIS,25.624716981132075,25.88402452830189,25.386477987421383,25.643962264150943
FISV,48.86691823899371,49.3322358490566,48.412843396226414,48.92066666666666
FITB,12.938575949367088,13.198264556962025,12.676710126582279,12.943544303797468
FLIR,29.000696202531643,29.30094683544304,28.66718670886076,29.004145569620253
FLR,46.97509433962264,47.621886792452834,46.254640251572326,46.99320754716981
FLS,100.6980503144654,102.07261698113207,99.1680962264151,100.74264150943397
FMC,59.67666666666667,60.350303773584905,59.011884905660374,59.73729559748428
FO,45.77754716981132,46.24037610062893,45.22563899371069,45.78798742138365
FPL,49.407896610169495,49.82966949152542,48.92264152542373,49.39531779661017
FRX,28.64383647798742,28.91688679245283,28.320968553459117,28.625974842767295
FSLR,121.75585987261148,123.98231592356689,119.37904267515923,121.64525477707006
FTI,59.8174213836478,60.83946981132076,58.76468742138365,59.88849056603774
FTR,7.668364779874214,7.733254716981133,7.566727672955975,7.651509433962263
GAS,42.01933962264151,42.364543396226416,41.60900503144654,42.04691823899371
GCI,15.480660377358491,15.796962264150944,15.142136477987423,15.478993710691823
GD,68.95320754716981,69.59310503144654,68.12991194968554,68.94377358490566
GE,16.60688679245283,16.804094339622644,16.372431446540883,16.59201257861635
GENZ,54.724967948717946,55.58450128205128,54.17369551282051,54.93214743589744
GILD,40.97462025316455,41.41492594936709,40.462989240506325,40.91657594936709
GIS,60.10172955974842,60.498711320754715,59.648757232704405,60.11377358490566
GLW,18.430157232704403,18.642864150943396,18.1174106918239,18.39069182389937
GME,20.850868553459122,21.163550314465407,20.499913836477987,20.845157232704402
GNW,15.11437106918239,15.449827044025158,14.76120251572327,15.112830188679245
GOOG,524.1273734177215,529.2630088607594,517.973482278481,523.329164556962
